# Exp label: Wake98A Recorded at SSS_A-E
# Device ID: ID47481 Mouse group: MT Mouse ID: ES020-1-1-G6_1 DOB: 2019/03/24
# Start: 2019-05-25 08:00:00 End: 2019-05-27 08:00:00 Note: Yes
# Epoch num: 21600
# Sampling frequency: 100
# Staged by FASTER2
Stage,REM probability,NREM probability,Wake probability,NaN ratio EEG-TS,NaN ratio EMG-TS,Outlier ratio EEG-TS,Outlier ratio EMG-TS
Wake,7.776245898448226e-28,2.6148031541308746e-11,0.9999999999708962,0.0,0.0,0.0,0.0
Wake,1.3715989159378397e-21,2.198518189987959e-12,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.5143919500781535e-26,1.3915804673612036e-11,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,7.346753602329992e-30,9.07676476333483e-11,0.9999999999126885,0.0,0.0,0.0,0.0
Wake,9.214907278140698e-12,8.661914799970244e-05,0.9999133808476981,0.0,0.0,0.0,0.0
Wake,3.512608056193387e-24,3.1488630165181764e-10,0.9999999996798579,0.0,0.0,0.0,0.0
Wake,1.0502094100710882e-23,1.082247801901859e-06,0.9999989177455463,0.0,0.0,0.007751937984496124,0.0
Wake,7.732813877823867e-19,1.2608746222986152e-08,0.9999999873980414,0.0,0.0,0.0,0.0
Wake,1.6623474201176258e-29,1.8120319154216118e-12,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.5857298004887264e-27,3.781327408793727e-10,0.9999999996216502,0.0,0.0,0.007751937984496124,0.0
Wake,4.344969332966882e-25,3.765703270953057e-12,1.0,0.0,0.0,0.0,0.0
Wake,1.8095716349844002e-26,2.18232082052822e-12,1.0,0.0,0.0,0.0,0.0
Wake,8.75768897820337e-20,8.250379742303049e-10,0.9999999991850927,0.0,0.0,0.0,0.0
Wake,8.955376898389407e-27,7.411563437349123e-13,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.5351659127284185e-19,6.893316867581545e-11,0.9999999999417923,0.0,0.0,0.0,0.0
Wake,5.864570534656375e-22,5.650303776280984e-10,0.9999999994470272,0.0,0.0,0.0,0.0
Wake,1.1666515259530688e-30,3.1971421251764317e-10,0.9999999996798579,0.0,0.0,0.0,0.0
Wake,1.980811010856344e-15,6.612227275498962e-08,0.9999999338760974,0.0,0.0,0.0,0.0
Wake,2.3015935640731085e-22,1.48919858540134e-11,0.9999999999708962,0.0,0.0,0.0,0.0
Wake,4.371889751658175e-20,5.203490406762701e-08,0.9999999479623525,0.0,0.0,0.015503875968992248,0.0
Wake,5.778366829770653e-25,1.0499545224635554e-11,1.0,0.0,0.0,0.0,0.0
Wake,4.259635408141303e-33,2.2030337200002016e-12,1.0,0.0,0.0,0.0,0.0
